observed_at_utc,source_updated_at_raw,source_updated_at_utc,facility,zone,count,capacity,pct_full,is_closed,location_id,facility_id,flags
2026-09-01T17:52:30+00:00,2026-09-01T12:09:57.213,2026-09-01T17:09:57.213000+00:00,Bakke Recreation & Wellbeing Center,Bakke Track,8,100,0.08,False,8694,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:09:59.31,2026-09-01T17:09:59.310000+00:00,Bakke Recreation & Wellbeing Center,Bakke Skybox Suites,4,18,0.2222,False,8695,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:24:56.903,2026-09-01T17:24:56.903000+00:00,Nicholas Recreation Center,Nick Racquetball Court 1,0,6,0.0,False,5753,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:24:57.877,2026-09-01T17:24:57.877000+00:00,Nicholas Recreation Center,Nick Racquetball Court 2,3,6,0.5,False,5754,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:01.48,2026-09-01T17:10:01.480000+00:00,Bakke Recreation & Wellbeing Center,Bakke Level 4 Fitness,11,75,0.1467,False,8699,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:03.683,2026-09-01T17:10:03.683000+00:00,Bakke Recreation & Wellbeing Center,Bakke Orbit,8,46,0.1739,False,8696,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:24:59.983,2026-09-01T17:24:59.983000+00:00,Nicholas Recreation Center,Nick Level 3 Fitness,107,200,0.535,False,5758,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:06.11,2026-09-01T17:10:06.110000+00:00,Bakke Recreation & Wellbeing Center,Bakke Courts 5-8,5,500,0.01,False,8698,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:07.64,2026-09-01T17:10:07.640000+00:00,Bakke Recreation & Wellbeing Center,Bakke Level 3 Fitness,28,246,0.1138,False,8700,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:25:02.67,2026-09-01T17:25:02.670000+00:00,Nicholas Recreation Center,Nick Courts 3-6,27,500,0.054,False,7090,1186,
2026-09-01T17:52:30+00:00,2026-08-31T06:38:36.713,2026-08-31T11:38:36.713000+00:00,Bakke Recreation & Wellbeing Center,Bakke Mount Mendota,0,39,0.0,True,8701,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:25:03.39,2026-09-01T17:25:03.390000+00:00,Nicholas Recreation Center,Nick Courts 7 & 8,11,250,0.044,False,5766,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:25:04.17,2026-09-01T17:25:04.170000+00:00,Nicholas Recreation Center,Nick Level 2 Fitness,64,100,0.64,False,5762,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:25:05.03,2026-09-01T17:25:05.030000+00:00,Nicholas Recreation Center,Nick Level 1 Fitness,61,150,0.4067,False,5760,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:25:05.763,2026-09-01T17:25:05.763000+00:00,Nicholas Recreation Center,Nick Soderholm Family Aquatic Center,30,230,0.1304,False,5764,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:25:06.653,2026-09-01T17:25:06.653000+00:00,Nicholas Recreation Center,Nick Courts 1 & 2,45,250,0.18,False,7089,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:14.797,2026-09-01T17:10:14.797000+00:00,Bakke Recreation & Wellbeing Center,Bakke Level 2 Fitness,5,65,0.0769,False,8705,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:25:07.403,2026-09-01T17:25:07.403000+00:00,Nicholas Recreation Center,Nick Power House,74,140,0.5286,False,5761,1186,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:18.417,2026-09-01T17:10:18.417000+00:00,Bakke Recreation & Wellbeing Center,Bakke Willow Room,12,27,0.4444,False,8708,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:24.793,2026-09-01T17:10:24.793000+00:00,Bakke Recreation & Wellbeing Center,Bakke Esports Room,2,12,0.1667,False,8712,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:27.013,2026-09-01T17:10:27.013000+00:00,Bakke Recreation & Wellbeing Center,Bakke Courts 3&4,0,250,0.0,False,8714,1656,
2026-09-01T17:52:30+00:00,2026-08-31T22:32:27.543,2026-09-01T03:32:27.543000+00:00,Bakke Recreation & Wellbeing Center,Bakke Cove Pool,0,116,0.0,True,8716,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:28.37,2026-09-01T17:10:28.370000+00:00,Bakke Recreation & Wellbeing Center,Bakke The Point,3,30,0.1,False,8718,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:30.247,2026-09-01T17:10:30.247000+00:00,Bakke Recreation & Wellbeing Center,Bakke Level 1 Fitness,30,130,0.2308,False,8717,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:10:32.47,2026-09-01T17:10:32.470000+00:00,Bakke Recreation & Wellbeing Center,Bakke Courts 1&2,0,250,0.0,False,8720,1656,
2026-09-01T17:52:30+00:00,2026-09-01T12:33:18.737,2026-09-01T17:33:18.737000+00:00,Bakke Recreation & Wellbeing Center,Bakke Sub Zero Ice Center,4,600,0.0067,False,10550,1656,
